Source,Target
Hugh Jackman,Amanda Seyfried
Hugh Jackman,Liev Schreiber
Hugh Jackman,Ryan Reynolds
Hugh Jackman,Danny Huston
Hugh Jackman,Will Yun Lee
Hugh Jackman,Tao Okamoto
Hugh Jackman,Rila Fukushima
Hugh Jackman,Sigourney Weaver
Hugh Jackman,Garrett Hedlund
Hugh Jackman,Rooney Mara
Hugh Jackman,Halle Berry
Hugh Jackman,Famke Janssen
Hugh Jackman,Shea Adams
Hugh Jackman,Eddie Baroo
Hugh Jackman,Robin Williams
Hugh Jackman,Rachel Weisz
Hugh Jackman,Sean Patrick Thomas
Hugh Jackman,Ellen Burstyn
Hugh Jackman,Evangeline Lilly
Hugh Jackman,Dakota Goyo
Hugh Jackman,Anthony Mackie
Scarlett Johansson,Michael Caine
Scarlett Johansson,Jeremy Renner
Scarlett Johansson,Rooney Mara
Scarlett Johansson,Robert Redford
Scarlett Johansson,Jeremy McWilliams
Scarlett Johansson,Lynsey Taylor Mackay
Scarlett Johansson,Dougie McConnell
Scarlett Johansson,Morgan Freeman
Scarlett Johansson,Min-sik Choi
Scarlett Johansson,Amr Waked
Scarlett Johansson,Julianne Moore
Scarlett Johansson,Tony Danza
Scarlett Johansson,Dustin Hoffman
Scarlett Johansson,Javier Bardem
Scarlett Johansson,Christopher Evan Welch
Scarlett Johansson,Eric Bana
Scarlett Johansson,Jim Sturgess
Colin Firth,Taron Egerton
Colin Firth,Samuel L. Jackson
Colin Firth,Michael Caine
Colin Firth,Reese Witherspoon
Colin Firth,Alessandro Nivola
Colin Firth,James Hamrick
Colin Firth,Geoffrey Rush
Colin Firth,Helena Bonham Carter
Colin Firth,Derek Jacobi
Colin Firth,Tom Hardy
Colin Firth,Mark Strong
Taron Egerton,Samuel L. Jackson
Taron Egerton,Michael Caine
Taron Egerton,Paul Anderson
Samuel L. Jackson,Michael Caine
Samuel L. Jackson,Kurt Russell
Samuel L. Jackson,Jennifer Jason Leigh
Samuel L. Jackson,Walton Goggins
Samuel L. Jackson,Hayley Atwell
Samuel L. Jackson,Sharlto Copley
Samuel L. Jackson,Scarlett Johansson
Samuel L. Jackson,Robert Redford
Samuel L. Jackson,Jamie Bell
Samuel L. Jackson,Rachel Bilson
Samuel L. Jackson,Mary McCormack
Samuel L. Jackson,Paul Birchard
Samuel L. Jackson,Julianna Margulies
Samuel L. Jackson,Nathan Phillips
Samuel L. Jackson,Rachel Blanchard
Tom Hardy,Charlize Theron
Tom Hardy,Nicholas Hoult
Tom Hardy,Zo�� Kravitz
Tom Hardy,Emily Browning
Tom Hardy,Taron Egerton
Tom Hardy,Paul Anderson
Tom Hardy,Anne Hathaway
Tom Hardy,Gary Oldman
Tom Hardy,Will Poulter
Tom Hardy,Domhnall Gleeson
Tom Hardy,Nick Nolte
Tom Hardy,Joel Edgerton
Tom Hardy,Jennifer Morrison
Tom Hardy,Kelly Adams
Tom Hardy,Luing Andrews
Tom Hardy,Katy Barker
Tom Hardy,Noomi Rapace
Tom Hardy,James Gandolfini
Tom Hardy,Matthias Schoenaerts
Tom Hardy,Shia LaBeouf
Tom Hardy,Guy Pearce
Tom Hardy,Jason Clarke
Tom Hardy,Gary Oldman
Tom Hardy,Noomi Rapace
Tom Hardy,Joel Kinnaman
Tom Hardy,Gary Oldman
Tom Hardy,Mark Strong
Tom Hardy,Til Schweiger
Tom Hardy,Olivia Colman
Tom Hardy,Ruth Wilson
Tom Hardy,Andrew Scott
Nicholas Hoult,Zo�� Kravitz
Nicholas Hoult,Teresa Palmer
Nicholas Hoult,John Malkovich
Nicholas Hoult,Analeigh Tipton
Nicholas Hoult,Kristen Stewart
Nicholas Hoult,Vernetta Lopez
Nicholas Hoult,Scott Lawrence
Nicholas Hoult,Christina Hendricks
Nicholas Hoult,Chlo�� Grace Moretz
Orlando Bloom,Keira Knightley
Orlando Bloom,Geoffrey Rush
Orlando Bloom,Keira Knightley
Orlando Bloom,Jack Davenport
Keira Knightley,Geoffrey Rush
Keira Knightley,Jack Davenport
Keira Knightley,Matthew Goode
Keira Knightley,Allen Leech
Keira Knightley,James McAvoy
Keira Knightley,Brenda Blethyn
Keira Knightley,Saoirse Ronan
Keira Knightley,Jude Law
Keira Knightley,Aaron Taylor-Johnson
Keira Knightley,Matthew Macfadyen
Keira Knightley,Kenneth Branagh
Keira Knightley,Mark Ruffalo
Keira Knightley,Adam Levine
Keira Knightley,Hailee Steinfeld
Robert Downey Jr.,Chris Evans
Robert Downey Jr.,Scarlett Johansson
Robert Downey Jr.,Jeremy Renner
Robert Downey Jr.,Chris Evans
Robert Downey Jr.,Mark Ruffalo
Robert Downey Jr.,Chris Hemsworth
Robert Downey Jr.,Jeff Kahn
Robert Downey Jr.,Gwyneth Paltrow
Robert Downey Jr.,Terrence Howard
Robert Downey Jr.,Jeff Bridges
Robert Downey Jr.,Mark Ruffalo
Robert Downey Jr.,Anthony Edwards
Robert Downey Jr.,Guy Pearce
Robert Downey Jr.,Gwyneth Paltrow
Robert Downey Jr.,Don Cheadle
Robert Downey Jr.,Jude Law
Robert Downey Jr.,Rachel McAdams
Robert Downey Jr.,Mark Strong
Robert Downey Jr.,Mickey Rourke
Robert Downey Jr.,Gwyneth Paltrow
Robert Downey Jr.,Don Cheadle
Robert Downey Jr.,Jude Law
Robert Downey Jr.,Jared Harris
Robert Downey Jr.,Rachel McAdams
Robert Downey Jr.,Robert Duvall
Robert Downey Jr.,Vera Farmiga
Robert Downey Jr.,Billy Bob Thornton
Robert Downey Jr.,Scarlett Johansson
Robert Downey Jr.,Dustin Hoffman
Chris Evans,Scarlett Johansson
Chris Evans,Jeremy Renner
Chris Evans,Mark Ruffalo
Chris Evans,Chris Hemsworth
Chris Evans,Hugo Weaving
Chris Evans,Samuel L. Jackson
Chris Evans,Hayley Atwell
Chris Evans,Samuel L. Jackson
Chris Evans,Scarlett Johansson
Chris Evans,Robert Redford
Chris Evans,Jamie Bell
Chris Evans,Tilda Swinton
Chris Evans,Ed Harris
Chris Evans,Michelle Yeoh
Chris Evans,Alice Eve
Chris Evans,Emma Fitzpatrick
Chris Evans,John Cullum
Chris Evans,Ari Graynor
Chris Evans,Blythe Danner
Jeremy Renner,Simon Pegg
Jeremy Renner,Simon Pegg
Jeremy Renner,Paula Patton
Jeremy Renner,Rachel Weisz
Jeremy Renner,Edward Norton
Jeremy Renner,Scott Glenn
Jeremy Renner,Anthony Mackie
Jeremy Renner,Brian Geraghty
Jeremy Renner,Guy Pearce
Jeremy Renner,Rose Byrne
Jeremy Renner,Robert Carlyle
Jeremy Renner,Harold Perrineau
Brad Pitt,Diane Kruger
Brad Pitt,Eli Roth
Brad Pitt,M̩lanie Laurent
Brad Pitt,Shia LaBeouf
Brad Pitt,Logan Lerman
Brad Pitt,Michael Pe̱a
Brad Pitt,Cate Blanchett
Brad Pitt,Tilda Swinton
Brad Pitt,Julia Ormond
Brad Pitt,Mireille Enos
Brad Pitt,Daniella Kertesz
Brad Pitt,James Badge Dale
Brad Pitt,Robin Wright
Brad Pitt,Jonah Hill
Brad Pitt,Philip Seymour Hoffman
Brad Pitt,Jonah Hill
Brad Pitt,Tina Fey
Brad Pitt,Casey Affleck
Brad Pitt,Sam Shepard
Brad Pitt,Mary-Louise Parker
Brad Pitt,Cate Blanchett
Brad Pitt,Gael Garc�_a Bernal
Brad Pitt,Mohamed Akhzam
Brad Pitt,Sean Penn
Brad Pitt,Jessica Chastain
Brad Pitt,Hunter McCracken
Brad Pitt,Matt Damon
Brad Pitt,Michael Mantell
Diane Kruger,Eli Roth
Diane Kruger,M̩lanie Laurent
Diane Kruger,Linh Dan Pham
Diane Kruger,January Jones
Diane Kruger,Aidan Quinn
Eli Roth,M̩lanie Laurent
M̩lanie Laurent,Sarah Gadon
M̩lanie Laurent,Isabella Rossellini
Leonardo DiCaprio,Joseph Gordon-Levitt
Leonardo DiCaprio,Ellen Page
Leonardo DiCaprio,Ken Watanabe
Leonardo DiCaprio,Jonah Hill
Leonardo DiCaprio,Margot Robbie
Leonardo DiCaprio,Matthew McConaughey
Leonardo DiCaprio,Matt Damon
Leonardo DiCaprio,Jack Nicholson
Leonardo DiCaprio,Mark Wahlberg
Leonardo DiCaprio,Tom Hardy
Leonardo DiCaprio,Will Poulter
Leonardo DiCaprio,Domhnall Gleeson
Leonardo DiCaprio,Carey Mulligan
Leonardo DiCaprio,Joel Edgerton
Leonardo DiCaprio,Tobey Maguire
Leonardo DiCaprio,Emily Mortimer
Leonardo DiCaprio,Mark Ruffalo
Leonardo DiCaprio,Ben Kingsley
Leonardo DiCaprio,Kerry Washington
Leonardo DiCaprio,Kate Winslet
Leonardo DiCaprio,Christopher Fitzgerald
Leonardo DiCaprio,Jonathan Roumie
Leonardo DiCaprio,Djimon Hounsou
Leonardo DiCaprio,Jennifer Connelly
Leonardo DiCaprio,Kagiso Kuypers
Leonardo DiCaprio,Russell Crowe
Leonardo DiCaprio,Mark Strong
Leonardo DiCaprio,Golshifteh Farahani
Joseph Gordon-Levitt,Ellen Page
Joseph Gordon-Levitt,Ken Watanabe
Joseph Gordon-Levitt,Bruce Willis
Joseph Gordon-Levitt,Emily Blunt
Joseph Gordon-Levitt,Paul Dano
Joseph Gordon-Levitt,Geoffrey Arend
Joseph Gordon-Levitt,Chlo�� Grace Moretz
Joseph Gordon-Levitt,Scarlett Johansson
Joseph Gordon-Levitt,Julianne Moore
Joseph Gordon-Levitt,Tony Danza
Joseph Gordon-Levitt,Seth Rogen
Joseph Gordon-Levitt,Anna Kendrick
Joseph Gordon-Levitt,Bryce Dallas Howard
Joseph Gordon-Levitt,Charlotte Le Bon
Joseph Gordon-Levitt,Guillaume Baillargeon
Joseph Gordon-Levitt,��milie Leclerc
Ellen Page,Ken Watanabe
Ellen Page,Michael Cera
Ellen Page,Jennifer Garner
Ellen Page,Jason Bateman
Ellen Page,Liv Tyler
Ellen Page,Kevin Bacon
Ellen Page,Evan Rachel Wood
Ellen Page,Max Minghella
Ellen Page,Callum Keith Rennie
Ken Watanabe,Ryoko Seta
Jonah Hill,Margot Robbie
Jonah Hill,Matthew McConaughey
Jonah Hill,Christopher Mintz-Plasse
Jonah Hill,Bill Hader
Jonah Hill,Channing Tatum
Jonah Hill,Ice Cube
Jonah Hill,Brie Larson
Jonah Hill,Channing Tatum
Jonah Hill,Ice Cube
Jonah Hill,Nick Offerman
Jonah Hill,Seth Rogen
Jonah Hill,Jay Baruchel
Jonah Hill,Philip Seymour Hoffman
Jonah Hill,Tina Fey
Margot Robbie,Matthew McConaughey
Margot Robbie,Rodrigo Santoro
Margot Robbie,Adrian Martinez
Margot Robbie,Eric Godon
Ben Affleck,Rosamund Pike
Ben Affleck,Neil Patrick Harris
Ben Affleck,Tyler Perry
Ben Affleck,Rebecca Hall
Ben Affleck,Jon Hamm
Ben Affleck,Jeremy Renner
Ben Affleck,Bryan Cranston
Ben Affleck,John Goodman
Ben Affleck,Alan Arkin
Rosamund Pike,Neil Patrick Harris
Rosamund Pike,Tyler Perry
Rosamund Pike,Richard Jenkins
Rosamund Pike,Werner Herzog
Rosamund Pike,Ralph Fiennes
Neil Patrick Harris,Tyler Perry
Paul Walker,Dwayne Johnson
Paul Walker,Jason Statham
Paul Walker,Dwayne Johnson
Paul Walker,Michelle Rodriguez
Paul Walker,Dwayne Johnson
Paul Walker,Jordana Brewster
Paul Walker,Michelle Rodriguez
Paul Walker,Jordana Brewster
Dwayne Johnson,Jason Statham
Dwayne Johnson,Michelle Rodriguez
Dwayne Johnson,Carla Gugino
Dwayne Johnson,Alexandra Daddario
Dwayne Johnson,Colton Haynes
Dwayne Johnson,John Hurt
Dwayne Johnson,Ian McShane
Dwayne Johnson,Joseph Fiennes
Dwayne Johnson,Jordana Brewster
Dwayne Johnson,Anthony Mackie
Dwayne Johnson,Tony Shalhoub
Dwayne Johnson,Billy Bob Thornton
Dwayne Johnson,Maggie Grace
Dwayne Johnson,Mauricio Lopez
Dwayne Johnson,Channing Tatum
Dwayne Johnson,Adrianne Palicki
Dwayne Johnson,Byung-hun Lee
Jason Statham,Jet Li
Jason Statham,Antonio Banderas
Jason Statham,Jet Li
Jason Statham,Dolph Lundgren
Jason Statham,Joan Allen
Jason Statham,Tyrese Gibson
Jason Statham,Ian McShane
Bryce Dallas Howard,Ty Simpkins
Bryce Dallas Howard,Judy Greer
Bryce Dallas Howard,Jeffrey Wright
Bryce Dallas Howard,Bob Balaban
Ty Simpkins,Judy Greer
Ty Simpkins,Lin Shaye
Judy Greer,Oliver Platt
Sam Worthington,Zoe Saldana
