Id,Label
Quentin Tarantino,Quentin Tarantino
R.J. Cutler,R.J. Cutler
Rajkumar Hirani,Rajkumar Hirani
Rawson Marshall Thurber,Rawson Marshall Thurber
Rian Johnson,Rian Johnson
Rich Moore,Rich Moore
Richard Curtis,Richard Curtis
Richard LaGravenese,Richard LaGravenese
Richard Linklater,Richard Linklater
Rick Famuyiwa,Rick Famuyiwa
Ridley Scott,Ridley Scott
Rob Cohen,Rob Cohen
Rob Letterman,Rob Letterman
Rob Marshall,Rob Marshall
Robert Eggers,Robert Eggers
Robert Luketic,Robert Luketic
Robert Rodriguez,Robert Rodriguez
Robert Schwentke,Robert Schwentke
Robert Stromberg,Robert Stromberg
Robert Zemeckis,Robert Zemeckis
Roland Emmerich,Roland Emmerich
Roman Polanski,Roman Polanski
Ron Clements,Ron Clements
Ron Howard,Ron Howard
Ruben Fleischer,Ruben Fleischer
Rupert Sanders,Rupert Sanders
Rupert Wyatt,Rupert Wyatt
Ryan Coogler,Ryan Coogler
Ry��_��_hei Kitamura,Ry��_��_hei Kitamura
S. Craig Zahler,S. Craig Zahler
S.S. Rajamouli,S.S. Rajamouli
Sam Mendes,Sam Mendes
Sam Raimi,Sam Raimi
Sam Taylor-Johnson,Sam Taylor-Johnson
Saul Dibb,Saul Dibb
Scot Armstrong,Scot Armstrong
Scott Cooper,Scott Cooper
Scott Derrickson,Scott Derrickson
Scott Frank,Scott Frank
Scott Hicks,Scott Hicks
Scott Stewart,Scott Stewart
Scott Waugh,Scott Waugh
Sean Anders,Sean Anders
Sean Penn,Sean Penn
Sergei Bodrov,Sergei Bodrov
Seth Gordon,Seth Gordon
Seth MacFarlane,Seth MacFarlane
Shana Feste,Shana Feste
Shane Black,Shane Black
Shawn Levy,Shawn Levy
Simon Curtis,Simon Curtis
Simon Stone,Simon Stone
Simon West,Simon West
Sofia Coppola,Sofia Coppola
Spike Jonze,Spike Jonze
Spike Lee,Spike Lee
Srdjan Spasojevic,Srdjan Spasojevic
Stephen Chbosky,Stephen Chbosky
Stephen Fingleton,Stephen Fingleton
Stephen Sommers,Stephen Sommers
Steve McQueen,Steve McQueen
Steven Knight,Steven Knight
Steven Quale,Steven Quale
Steven R. Monroe,Steven R. Monroe
Steven Soderbergh,Steven Soderbergh
Steven Spielberg,Steven Spielberg
Sylvester Stallone,Sylvester Stallone
Tarsem Singh,Tarsem Singh
Tate Taylor,Tate Taylor
Terrence Malick,Terrence Malick
Terry Gilliam,Terry Gilliam
Terry Jones,Terry Jones
Thomas Vinterberg,Thomas Vinterberg
Thor Freudenthal,Thor Freudenthal
Tim Burton,Tim Burton
Tim Johnson,Tim Johnson
Timur Bekmambetov,Timur Bekmambetov
Todd Haynes,Todd Haynes
Todd Phillips,Todd Phillips
Tom Gormican,Tom Gormican
Tom Hooper,Tom Hooper
Tom McCarthy,Tom McCarthy
Tom McGrath,Tom McGrath
Tom Six,Tom Six
Tom Tykwer,Tom Tykwer
Tomas Alfredson,Tomas Alfredson
Tony Gilroy,Tony Gilroy
Tony Scott,Tony Scott
Tyler Shields,Tyler Shields
Wally Pfister,Wally Pfister
Werner Herzog,Werner Herzog
Wes Anderson,Wes Anderson
Wes Ball,Wes Ball
Wes Craven,Wes Craven
Will Gluck,Will Gluck
Woody Allen,Woody Allen
Xavier Dolan,Xavier Dolan
Yorgos Lanthimos,Yorgos Lanthimos
Zack Snyder,Zack Snyder
Zackary Adler,Zackary Adler
